"DOI","title","code","dataset","year","dls"
"10.23637/bbk-2078416917-01",<i>Cirsium arvense</i> frequency on Broadbalk Section 8 1991-2018,R/BK/1,CIRSIUM1991,2021,1
"10.23637/bbk-2078416917-01",<i>Cirsium arvense</i> frequency on Broadbalk Section 8 1991-2018,R/BK/1,CIRSIUM1991,2022,2
"10.23637/bbk-2078416917-01",<i>Cirsium arvense</i> frequency on Broadbalk Section 8 1991-2018,R/BK/1,CIRSIUM1991,2023,1
"10.23637/bbk-2078416917-01",<i>Cirsium arvense</i> frequency on Broadbalk Section 8 1991-2018,R/BK/1,CIRSIUM1991,2024,1
"10.23637/bbk-2078416917-01",<i>Cirsium arvense</i> frequency on Broadbalk Section 8 1991-2018,R/BK/1,CIRSIUM1991,2025,4
"10.23637/bbk-2078416917-01",<i>Cirsium arvense</i> frequency on Broadbalk Section 8 1991-2018,R/BK/1,CIRSIUM1991,2026,6
"10.23637/BK-oadata-soilN-01","Broadbalk Soil Total % Nitrogen Content, 1843-2010 ",R/BK/1,Nitro1843,2021,14
"10.23637/BK-oadata-soilN-01","Broadbalk Soil Total % Nitrogen Content, 1843-2010 ",R/BK/1,Nitro1843,2022,20
"10.23637/BK-oadata-soilN-01","Broadbalk Soil Total % Nitrogen Content, 1843-2010 ",R/BK/1,Nitro1843,2023,19
"10.23637/BK-oadata-soilN-01","Broadbalk Soil Total % Nitrogen Content, 1843-2010 ",R/BK/1,Nitro1843,2024,16
"10.23637/BK-oadata-soilN-01","Broadbalk Soil Total % Nitrogen Content, 1843-2010 ",R/BK/1,Nitro1843,2025,21
"10.23637/BK-oadata-soilN-01","Broadbalk Soil Total % Nitrogen Content, 1843-2010 ",R/BK/1,Nitro1843,2026,18
"10.23637/EX4-oadata-001-01","Exhaustion Land yields (spring barley and winter wheat) and assorted crop & soil phosphate (P) data, 1974-2008 ",R/EX/4,ExLand2016,2021,11
"10.23637/EX4-oadata-001-01","Exhaustion Land yields (spring barley and winter wheat) and assorted crop & soil phosphate (P) data, 1974-2008 ",R/EX/4,ExLand2016,2022,17
"10.23637/EX4-oadata-001-01","Exhaustion Land yields (spring barley and winter wheat) and assorted crop & soil phosphate (P) data, 1974-2008 ",R/EX/4,ExLand2016,2023,3
"10.23637/keyrefoabkolsenp","Broadbalk changes in Olsen P in top soil, 1843-2010",R/BK/1,OAOlsenP1844,2021,10
"10.23637/keyrefoabkolsenp","Broadbalk changes in Olsen P in top soil, 1843-2010",R/BK/1,OAOlsenP1844,2022,9
"10.23637/keyrefoabkolsenp","Broadbalk changes in Olsen P in top soil, 1843-2010",R/BK/1,OAOlsenP1844,2023,3
"10.23637/keyrefoabkolsenp","Broadbalk changes in Olsen P in top soil, 1843-2010",R/BK/1,OAOlsenP1844,2024,4
"10.23637/keyrefoabkolsenp","Broadbalk changes in Olsen P in top soil, 1843-2010",R/BK/1,OAOlsenP1844,2025,10
"10.23637/keyrefoabkolsenp","Broadbalk changes in Olsen P in top soil, 1843-2010",R/BK/1,OAOlsenP1844,2026,13
"10.23637/KeyRefOABKsoc",Broadbalk soil organic carbon content 1843-2010 ,R/BK/1,BKSOC1843,2021,14
"10.23637/KeyRefOABKsoc",Broadbalk soil organic carbon content 1843-2010 ,R/BK/1,BKSOC1843,2022,9
"10.23637/KeyRefOABKsoc",Broadbalk soil organic carbon content 1843-2010 ,R/BK/1,BKSOC1843,2023,9
"10.23637/KeyRefOABKsoc",Broadbalk soil organic carbon content 1843-2010 ,R/BK/1,BKSOC1843,2024,10
"10.23637/KeyRefOABKsoc",Broadbalk soil organic carbon content 1843-2010 ,R/BK/1,BKSOC1843,2025,10
"10.23637/KeyRefOABKsoc",Broadbalk soil organic carbon content 1843-2010 ,R/BK/1,BKSOC1843,2026,5
"10.23637/KeyRefOABKsoc-02",Broadbalk soil organic carbon content 1843-2015 ,R/BK/1,BKSOC1843,2021,33
"10.23637/KeyRefOABKsoc-02",Broadbalk soil organic carbon content 1843-2015 ,R/BK/1,BKSOC1843,2022,45
"10.23637/KeyRefOABKsoc-02",Broadbalk soil organic carbon content 1843-2015 ,R/BK/1,BKSOC1843,2023,41
"10.23637/KeyRefOABKsoc-02",Broadbalk soil organic carbon content 1843-2015 ,R/BK/1,BKSOC1843,2024,35
"10.23637/KeyRefOABKsoc-02",Broadbalk soil organic carbon content 1843-2015 ,R/BK/1,BKSOC1843,2025,47
"10.23637/KeyRefOABKsoc-02",Broadbalk soil organic carbon content 1843-2015 ,R/BK/1,BKSOC1843,2026,30
"10.23637/KeyRefOABKWoc",Broadbalk Wilderness accumulation of organic carbon,R/BK/1W,BKWoc,2021,7
"10.23637/KeyRefOABKWoc",Broadbalk Wilderness accumulation of organic carbon,R/BK/1W,BKWoc,2022,22
"10.23637/KeyRefOABKWoc",Broadbalk Wilderness accumulation of organic carbon,R/BK/1W,BKWoc,2023,7
"10.23637/KeyRefOABKWoc",Broadbalk Wilderness accumulation of organic carbon,R/BK/1W,BKWoc,2024,6
"10.23637/KeyRefOABKWoc",Broadbalk Wilderness accumulation of organic carbon,R/BK/1W,BKWoc,2025,11
"10.23637/KeyRefOABKWoc",Broadbalk Wilderness accumulation of organic carbon,R/BK/1W,BKWoc,2026,8
"10.23637/KeyRefOABKyields",Broadbalk mean long-term winter wheat yields 1852-2016 ,R/BK/1,OAWWYields,2021,42
"10.23637/KeyRefOABKyields",Broadbalk mean long-term winter wheat yields 1852-2016 ,R/BK/1,OAWWYields,2022,104
"10.23637/KeyRefOABKyields",Broadbalk mean long-term winter wheat yields 1852-2016 ,R/BK/1,OAWWYields,2023,33
"10.23637/KeyRefOABKyields",Broadbalk mean long-term winter wheat yields 1852-2016 ,R/BK/1,OAWWYields,2024,19
"10.23637/KeyRefOABKyields",Broadbalk mean long-term winter wheat yields 1852-2016 ,R/BK/1,OAWWYields,2025,11
"10.23637/KeyRefOABKyields",Broadbalk mean long-term winter wheat yields 1852-2016 ,R/BK/1,OAWWYields,2026,1
"10.23637/KeyRefOAGEWoc",Geescroft wilderness accumulation of organic carbon ,R/GE/9,GEWoc,2021,5
"10.23637/KeyRefOAGEWoc",Geescroft wilderness accumulation of organic carbon ,R/GE/9,GEWoc,2022,15
"10.23637/KeyRefOAGEWoc",Geescroft wilderness accumulation of organic carbon ,R/GE/9,GEWoc,2023,10
"10.23637/KeyRefOAGEWoc",Geescroft wilderness accumulation of organic carbon ,R/GE/9,GEWoc,2024,2
"10.23637/KeyRefOAGEWoc",Geescroft wilderness accumulation of organic carbon ,R/GE/9,GEWoc,2025,8
"10.23637/KeyRefOAGEWoc",Geescroft wilderness accumulation of organic carbon ,R/GE/9,GEWoc,2026,4
"10.23637/KeyRefOAHBsoc",Hoosfield soil organic carbon content,R/HB/2,HBSOC1852,2021,19
"10.23637/KeyRefOAHBsoc",Hoosfield soil organic carbon content,R/HB/2,HBSOC1852,2022,24
"10.23637/KeyRefOAHBsoc",Hoosfield soil organic carbon content,R/HB/2,HBSOC1852,2023,24
"10.23637/KeyRefOAHBsoc",Hoosfield soil organic carbon content,R/HB/2,HBSOC1852,2024,17
"10.23637/KeyRefOAHBsoc",Hoosfield soil organic carbon content,R/HB/2,HBSOC1852,2025,29
"10.23637/KeyRefOAHBsoc",Hoosfield soil organic carbon content,R/HB/2,HBSOC1852,2026,10
"10.23637/KeyRefOAHByields",Hoosfield mean long-term spring barley yields 1852-2015 ,R/HB/2,HBYields,2021,5
"10.23637/KeyRefOAHByields",Hoosfield mean long-term spring barley yields 1852-2015 ,R/HB/2,HBYields,2022,15
"10.23637/KeyRefOAHByields",Hoosfield mean long-term spring barley yields 1852-2015 ,R/HB/2,HBYields,2023,15
"10.23637/KeyRefOAHByields",Hoosfield mean long-term spring barley yields 1852-2015 ,R/HB/2,HBYields,2024,12
"10.23637/KeyRefOAHByields",Hoosfield mean long-term spring barley yields 1852-2015 ,R/HB/2,HBYields,2025,26
"10.23637/KeyRefOAHByields",Hoosfield mean long-term spring barley yields 1852-2015 ,R/HB/2,HBYields,2026,10
"10.23637/KeyRefOAPGsoilpH",Park Grass Soil pH 1856-2011 Selected data ,R/PG/5,OAPGsoilpH,2021,4
"10.23637/KeyRefOAPGsoilpH",Park Grass Soil pH 1856-2011 Selected data ,R/PG/5,OAPGsoilpH,2022,17
"10.23637/KeyRefOAPGsoilpH",Park Grass Soil pH 1856-2011 Selected data ,R/PG/5,OAPGsoilpH,2023,5
"10.23637/KeyRefOAPGsoilpH",Park Grass Soil pH 1856-2011 Selected data ,R/PG/5,OAPGsoilpH,2024,20
"10.23637/KeyRefOAPGsoilpH",Park Grass Soil pH 1856-2011 Selected data ,R/PG/5,OAPGsoilpH,2025,10
"10.23637/KeyRefOAPGsoilpH",Park Grass Soil pH 1856-2011 Selected data ,R/PG/5,OAPGsoilpH,2026,6
"10.23637/KeyRefOAPGspecies",Park Grass Changes in Mean Species Numbers 1864-2011,R/PG/5,OAPGspecies,2021,10
"10.23637/KeyRefOAPGspecies",Park Grass Changes in Mean Species Numbers 1864-2011,R/PG/5,OAPGspecies,2022,14
"10.23637/KeyRefOAPGspecies",Park Grass Changes in Mean Species Numbers 1864-2011,R/PG/5,OAPGspecies,2023,8
"10.23637/KeyRefOAPGspecies",Park Grass Changes in Mean Species Numbers 1864-2011,R/PG/5,OAPGspecies,2024,17
"10.23637/KeyRefOAPGspecies",Park Grass Changes in Mean Species Numbers 1864-2011,R/PG/5,OAPGspecies,2025,17
"10.23637/KeyRefOAPGspecies",Park Grass Changes in Mean Species Numbers 1864-2011,R/PG/5,OAPGspecies,2026,10
"10.23637/KeyRefOARESmatemp",Annual Mean Air Temperature at Rothamsted 1878-2013,RMS,RMAAtemp,2024,1
"10.23637/KeyRefOARLAsoc",Rothamsted Ley Arable Soil Organic Carbon 1948-2008: Highfield ,R/RN/1,HSOC4808,2021,9
"10.23637/KeyRefOARLAsoc",Rothamsted Ley Arable Soil Organic Carbon 1948-2008: Highfield ,R/RN/1,HSOC4808,2022,23
"10.23637/KeyRefOARLAsoc",Rothamsted Ley Arable Soil Organic Carbon 1948-2008: Highfield ,R/RN/1,HSOC4808,2023,19
"10.23637/KeyRefOARLAsoc",Rothamsted Ley Arable Soil Organic Carbon 1948-2008: Highfield ,R/RN/1,HSOC4808,2024,4
"10.23637/KeyRefOARLAsoc",Rothamsted Ley Arable Soil Organic Carbon 1948-2008: Highfield ,R/RN/1,HSOC4808,2025,12
"10.23637/KeyRefOARLAsoc",Rothamsted Ley Arable Soil Organic Carbon 1948-2008: Highfield ,R/RN/1,HSOC4808,2026,5
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,2021,1
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,2022,6
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,2023,6
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,2024,2
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,2025,3
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,2026,2
"10.23637/OARES30YrMeans7100",Rothamsted 30-year mean meteorological data 1971-2000,RMS,R30YrMeans7100,2021,1
"10.23637/OARES30YrMeans7100",Rothamsted 30-year mean meteorological data 1971-2000,RMS,R30YrMeans7100,2022,7
"10.23637/OARES30YrMeans7100",Rothamsted 30-year mean meteorological data 1971-2000,RMS,R30YrMeans7100,2023,1
"10.23637/OARES30YrMeans7100",Rothamsted 30-year mean meteorological data 1971-2000,RMS,R30YrMeans7100,2024,4
"10.23637/OARES30YrMeans7100",Rothamsted 30-year mean meteorological data 1971-2000,RMS,R30YrMeans7100,2025,6
"10.23637/OARES30YrMeans7100",Rothamsted 30-year mean meteorological data 1971-2000,RMS,R30YrMeans7100,2026,4
"10.23637/OARES30YrMeans8180",Rothamsted 30-year mean meteorological data 1981-2010,RMS,R30YrMeans8110,2021,3
"10.23637/OARES30YrMeans8180",Rothamsted 30-year mean meteorological data 1981-2010,RMS,R30YrMeans8110,2022,5
"10.23637/OARES30YrMeans8180",Rothamsted 30-year mean meteorological data 1981-2010,RMS,R30YrMeans8110,2023,1
"10.23637/OARES30YrMeans8180",Rothamsted 30-year mean meteorological data 1981-2010,RMS,R30YrMeans8110,2024,1
"10.23637/OARES30YrMeans8180",Rothamsted 30-year mean meteorological data 1981-2010,RMS,R30YrMeans8110,2025,4
"10.23637/OARES30YrMeans8180",Rothamsted 30-year mean meteorological data 1981-2010,RMS,R30YrMeans8110,2026,4
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,2021,8
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,2022,15
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,2023,14
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,2024,7
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,2025,8
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,2026,10
"10.23637/rbk1-1796346264-1",Broadbalk Wheat annual grain and straw yields 1852-1925 ,R/BK/1,YIELD852925,2021,6
"10.23637/rbk1-1796346264-1",Broadbalk Wheat annual grain and straw yields 1852-1925 ,R/BK/1,YIELD852925,2022,16
"10.23637/rbk1-1796346264-1",Broadbalk Wheat annual grain and straw yields 1852-1925 ,R/BK/1,YIELD852925,2023,22
"10.23637/rbk1-1796346264-1",Broadbalk Wheat annual grain and straw yields 1852-1925 ,R/BK/1,YIELD852925,2024,16
"10.23637/rbk1-1796346264-1",Broadbalk Wheat annual grain and straw yields 1852-1925 ,R/BK/1,YIELD852925,2025,48
"10.23637/rbk1-1796346264-1",Broadbalk Wheat annual grain and straw yields 1852-1925 ,R/BK/1,YIELD852925,2026,23
"10.23637/rbk1-beanyld6822-01",Broadbalk field bean yield components 1968-2022 ,R/BK/1,BEANYLD,2023,1
"10.23637/rbk1-beanyld6822-01",Broadbalk field bean yield components 1968-2022 ,R/BK/1,BEANYLD,2024,8
"10.23637/rbk1-beanyld6822-01",Broadbalk field bean yield components 1968-2022 ,R/BK/1,BEANYLD,2025,14
"10.23637/rbk1-beanyld6822-01",Broadbalk field bean yield components 1968-2022 ,R/BK/1,BEANYLD,2026,20
"10.23637/rbk1-bfr-01",Broadbalk Wheat brown foot rot (Fusarium spp.) 1992-2009,R/BK/1,BKBFR,2021,1
"10.23637/rbk1-bfr-01",Broadbalk Wheat brown foot rot (Fusarium spp.) 1992-2009,R/BK/1,BKBFR,2022,4
"10.23637/rbk1-bfr-01",Broadbalk Wheat brown foot rot (Fusarium spp.) 1992-2009,R/BK/1,BKBFR,2023,5
"10.23637/rbk1-bfr-01",Broadbalk Wheat brown foot rot (Fusarium spp.) 1992-2009,R/BK/1,BKBFR,2024,2
"10.23637/rbk1-bfr-01",Broadbalk Wheat brown foot rot (Fusarium spp.) 1992-2009,R/BK/1,BKBFR,2025,8
"10.23637/rbk1-bfr-01",Broadbalk Wheat brown foot rot (Fusarium spp.) 1992-2009,R/BK/1,BKBFR,2026,11
"10.23637/rbk1-BKNUTRW-01","Broadbalk Crop Nutrient Content, Wheat 1968-2017 ",R/BK/1,BKNUTRW,2021,10
"10.23637/rbk1-BKNUTRW-01","Broadbalk Crop Nutrient Content, Wheat 1968-2017 ",R/BK/1,BKNUTRW,2022,24
"10.23637/rbk1-BKNUTRW-01","Broadbalk Crop Nutrient Content, Wheat 1968-2017 ",R/BK/1,BKNUTRW,2023,26
"10.23637/rbk1-BKNUTRW-01","Broadbalk Crop Nutrient Content, Wheat 1968-2017 ",R/BK/1,BKNUTRW,2024,37
"10.23637/rbk1-BKNUTRW-01","Broadbalk Crop Nutrient Content, Wheat 1968-2017 ",R/BK/1,BKNUTRW,2025,27
"10.23637/rbk1-BKNUTRW-01","Broadbalk Crop Nutrient Content, Wheat 1968-2017 ",R/BK/1,BKNUTRW,2026,23
"10.23637/rbk1-bksoils-01",Broadbalk soil chemical properties 1843-2021 ,R/BK/1,BKSOIL,2025,5
"10.23637/rbk1-bksoils-01",Broadbalk soil chemical properties 1843-2021 ,R/BK/1,BKSOIL,2026,50
"10.23637/rbk1-chalk-01",Broadbalk Wheat Chalk Applications,R/BK/1,CHALK,2022,2
"10.23637/rbk1-chalk-01",Broadbalk Wheat Chalk Applications,R/BK/1,CHALK,2023,6
"10.23637/rbk1-chalk-01",Broadbalk Wheat Chalk Applications,R/BK/1,CHALK,2024,4
"10.23637/rbk1-chalk-01",Broadbalk Wheat Chalk Applications,R/BK/1,CHALK,2025,4
"10.23637/rbk1-chalk-01",Broadbalk Wheat Chalk Applications,R/BK/1,CHALK,2026,9
"10.23637/rbk1-data-fisher-1921-01",Fisher 1921 Broadbalk wheat grain yields 1852-1918 ,R/BK/1,FISHER1921,2021,3
"10.23637/rbk1-data-fisher-1921-01",Fisher 1921 Broadbalk wheat grain yields 1852-1918 ,R/BK/1,FISHER1921,2022,6
"10.23637/rbk1-data-fisher-1921-01",Fisher 1921 Broadbalk wheat grain yields 1852-1918 ,R/BK/1,FISHER1921,2023,10
"10.23637/rbk1-data-fisher-1921-01",Fisher 1921 Broadbalk wheat grain yields 1852-1918 ,R/BK/1,FISHER1921,2024,8
"10.23637/rbk1-data-fisher-1921-01",Fisher 1921 Broadbalk wheat grain yields 1852-1918 ,R/BK/1,FISHER1921,2025,6
"10.23637/rbk1-data-fisher-1921-01",Fisher 1921 Broadbalk wheat grain yields 1852-1918 ,R/BK/1,FISHER1921,2026,5
"10.23637/rbk1-fmyield9717-01",Broadbalk forage maize yields 1997-2017 ,R/BK/1,FMYIELD,2024,9
"10.23637/rbk1-fmyield9717-01",Broadbalk forage maize yields 1997-2017 ,R/BK/1,FMYIELD,2025,19
"10.23637/rbk1-fmyield9717-01",Broadbalk forage maize yields 1997-2017 ,R/BK/1,FMYIELD,2026,16
"10.23637/rbk1-FYM-01",Broadbalk Wheat Experiment organic manure chemical composition ,R/BK/1,BKFYM,2024,8
"10.23637/rbk1-FYM-01",Broadbalk Wheat Experiment organic manure chemical composition ,R/BK/1,BKFYM,2025,29
"10.23637/rbk1-FYM-01",Broadbalk Wheat Experiment organic manure chemical composition ,R/BK/1,BKFYM,2026,9
"10.23637/rbk1-meanyld5267",Broadbalk Wheat 10-year mean yields 1852-1967 ,R/BK/1,MEANYLD5267,2024,7
"10.23637/rbk1-meanyld5267",Broadbalk Wheat 10-year mean yields 1852-1967 ,R/BK/1,MEANYLD5267,2025,6
"10.23637/rbk1-meanyld5267",Broadbalk Wheat 10-year mean yields 1852-1967 ,R/BK/1,MEANYLD5267,2026,5
"10.23637/rbk1-oatyld9622-01",Broadbalk oats grain and straw yields 1996-2022 ,R/BK/1,OATYIELD,2025,11
"10.23637/rbk1-oatyld9622-01",Broadbalk oats grain and straw yields 1996-2022 ,R/BK/1,OATYIELD,2026,8
"10.23637/rbk1-potyld6896-01",Broadbalk potato tuber yields 1968-1996 ,R/BK/1,POTYIELD,2025,6
"10.23637/rbk1-potyld6896-01",Broadbalk potato tuber yields 1968-1996 ,R/BK/1,POTYIELD,2026,6
"10.23637/rbk1-trace2005-01",Broadbalk wheat grain micronutrients 1845-2005 ,R/BK/1,BKTRACE,2024,3
